Datetime,Tweet Url,Text,Username,preprocessed_text,Label
2023-03-13 00:58:49+00:00,https://twitter.com/BosPurwa/status/1635082954551726080,skema ini gw denger langsung dari para petinggi pengusung ganjar tapi jika dan hanya jika ikut lolos pencapresan erick gak mungkin jadi wapres ganjar soalnya ada yang akan gunting klo itu terjadi yang lagi digodok adalah penjegalan anies,BosPurwa,skema gw denger langsung petinggi pengusung ganjar lolo pencapresan erick gak wapr ganjar gunt klo digodok penjegalan ani,0
2023-03-13 06:18:26+00:00,https://twitter.com/phil41317/status/1635163387159273472,user ini mah kegoblokan unfaedah,phil41317,user mah kegoblokan unfaedah,1
2023-02-16 23:46:51+00:00,https://twitter.com/Ugi7498/status/1626367533434683392,hasibuan para buzzerp kumpul di prabowo atas perintah siapa siapa lagi klo bukan pemilik lamanya btw buzzerp itu pns atau kontrak,Ugi7498,hasibuan buzzerp kumpul prabowo perintah klo pemilik btw buzzerp pn kontrak,1
2023-03-12 15:32:12+00:00,https://twitter.com/nats_uni/status/1634940361792684038,awowkwkw jangan bangun kau nis dari mimpi mulu,nats_uni,awowkwkw bangun kau ni mimpi mulu,0
2023-03-13 02:15:55+00:00,https://twitter.com/Partai_Slebew/status/1635102359331438593,partai udah memberi kebebasan kepada untuk menentukan siapa bakal cawapres nya tp kalau bisa ahy yg jadi pendampingnya ini kebebasan yg diarahkan dan seharusnya dan harus ambil sikap sorry aku bukan mau manas manasin situasi yaa,Partai_Slebew,partai udah kebebasan menentukan cawapr nya tp ahi yg pendampingnya kebebasan yg diarahkan ambil sikap sorri mana manasin situasi yaa,0
2023-02-28 16:54:38+00:00,https://twitter.com/AnditaLyan14/status/1630612450037973002,tinjau tol superprioritas soloyogyakarta seksi ganjar targetkan pembebasan lahan rampung maret jam reply selena,AnditaLyan14,tinjau tol superpriorita soloyogyakarta seksi ganjar targetkan pembebasan lahan rampung maret jam repli selena,0
2023-03-12 22:13:42+00:00,https://twitter.com/MasDaen80122517/status/1635041400780881920,yg penting bukan anies,MasDaen80122517,yg ani,0
2023-03-13 05:22:20+00:00,https://twitter.com/rudysirwi/status/1635149272114155520,haha ga pada malu itu,rudysirwi,haha ga malu,0
2023-03-12 10:22:34+00:00,https://twitter.com/Cembok1/status/1634862439526457345,udah puas ya pak anies jelek jelekin negara sendiri sampai dunia tahu anda pengkhianat bangsa jahatnya bapak,Cembok1,udah pua ya ani jelek jelekin negara dunia pengkhianat bangsa jahatnya,0
2023-02-28 18:11:22+00:00,https://twitter.com/AgustinCorde12/status/1630631761121284096,indonesia semakin maju dengan kebijakan pemerintahan presiden ganjar ganjar bapak pembangunan terbaik semoga kalimantan te,AgustinCorde12,indonesia maju kebijakan pemerintahan presiden ganjar ganjar pembangunan terbaik semoga kalimantan te,0
